compound,compound_by_sent,median_cmpd,median_neg,median_neu,median_pos,name,negative,negative_by_sent,neutral,neutral_by_sent,num_reviews,positive,positive_by_sent,range_cmpd_max,range_cmpd_min,range_neg_max,range_neg_min,range_neu_max,range_neu_min,range_pos_max,range_pos_min,rating
0.1346,0.0497,0.0,0.0,0.858,0.0,Max’s Restaurants,0.0876,0.11,0.8159,0.8118,6,0.0965,0.0783,0.7269,-0.4404,1.0,0.0,1.0,0.0,0.357,0.0,3.0
0.0624,0.0624,0.0,0.061,0.808,0.115,Franceschi’s,0.0619,0.0619,0.824,0.824,1,0.1142,0.1142,0.705,-0.4336,0.15,0.0,1.0,0.527,0.343,0.0,2.0
0.2836,0.2691,0.3182,0.0,0.799,0.149,Butterfly Restaurant,0.0483,0.0429,0.7384,0.7694,1445,0.2064,0.1848,0.9546,-0.8377,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.1785,0.1455,0.0,0.0,0.811,0.049,La Terrasse,0.0676,0.069,0.7766,0.7871,265,0.1515,0.141,0.9523,-0.9015,1.0,0.0,1.0,0.0,1.0,0.0,2.5
0.2955,0.2688,0.3818,0.0,0.814,0.18,Tita’s Restaurant,0.056,0.0585,0.7835,0.7945,6,0.1604,0.147,0.855,-0.3818,1.0,0.0,1.0,0.0,0.61,0.0,3.0
0.2926,0.2662,0.29674999999999996,0.0,0.786,0.15,The Public,0.041,0.0429,0.7519,0.7609,195,0.1982,0.1882,0.9775,-0.8622,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2505,0.0579,0.0,0.0,0.9650000000000001,0.0,Tin Pan,0.0839,0.0671,0.7681,0.8735,3,0.1479,0.0593,0.7579,-0.5994,0.262,0.0,1.0,0.473,0.4,0.0,2.5
0.3689,0.2781,0.3182,0.0,0.809,0.16,EAT Restaurant,0.0286,0.0342,0.7373,0.7713,25,0.234,0.1945,0.9635,-0.8553,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.3146,0.2322,0.20679999999999998,0.0,0.807,0.128,Bonanza Restaurant,0.0433,0.0399,0.72,0.7631,24,0.2307,0.1914,0.9464,-0.9313,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.331,0.3089,0.3818,0.0,0.77,0.182,The Metro Bar and Restaurant,0.0332,0.0377,0.7533,0.759,56,0.2106,0.2004,0.988,-0.8594,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.0596,0.0723,0.0,0.0,0.824,0.0,Sinbad’s Pier2 Restaurant,0.0921,0.0826,0.7807,0.7962,559,0.122,0.1157,0.9273,-0.8979,1.0,0.0,1.0,0.0,1.0,0.0,2.0
0.3394,0.3102,0.34405,0.0,0.7955000000000001,0.1385,The Monte Carlo,0.0421,0.029,0.6955,0.7573,10,0.2291,0.2002,0.9382,-0.702,0.394,0.0,1.0,0.0,1.0,0.0,4.5
0.2654,0.2348,0.1531,0.0,0.809,0.119,Myth,0.044,0.0445,0.7659,0.7673,394,0.1845,0.1697,0.9705,-0.9156,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2989,0.2704,0.296,0.0,0.8,0.15,2223 Restaurant,0.0322,0.034,0.7651,0.775,664,0.1981,0.1885,0.9688,-0.8047,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2762,0.2873,0.3291,0.0,0.7975000000000001,0.1455,The Palace,0.0486,0.041,0.7603,0.7719,164,0.1907,0.1862,0.9856,-0.8271,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2708,0.1608,0.0,0.0,0.883,0.0,Watergate,0.0239,0.0406,0.8025,0.8194,10,0.1736,0.1399,0.9022,-0.8225,0.521,0.0,1.0,0.0,1.0,0.0,3.5
0.3425,0.2988,0.4404,0.0,0.766,0.1795,Tallula,0.0412,0.048,0.7394,0.7484,41,0.2166,0.1994,0.9829,-0.8248,1.0,0.0,1.0,0.0,0.863,0.0,4.0
0.1416,0.1292,0.0,0.0,0.8285,0.0,Ocean Pizza Restaurant,0.0664,0.0661,0.7876,0.8054,88,0.1418,0.127,0.9625,-0.9458,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2327,0.1928,0.0129,0.0,0.833,0.081,Indigo,0.046,0.0489,0.7636,0.7862,306,0.1889,0.1626,0.9628,-0.8151,0.857,0.0,1.0,0.0,1.0,0.0,3.5
0.2219,0.2005,0.0,0.0,0.8454999999999999,0.08499999999999999,Caesar’s Italian Restaurant,0.0421,0.038,0.7872,0.8118,232,0.163,0.1453,0.9413,-0.8705,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,Palacios Rolando,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2137,0.2575,0.3382,0.0,0.806,0.159,Fenix,0.0316,0.0398,0.8117,0.7758,3,0.1566,0.1844,0.8588,-0.5994,0.302,0.0,1.0,0.267,0.733,0.0,2.5
0.0,0.0,0.0,0.0,0.0,0.0,San Francisco Restaurant Company,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2119,0.2193,0.0516,0.0,0.815,0.104,El Trebol Restaurant,0.0375,0.0361,0.7798,0.7915,24,0.1608,0.1577,0.9661,-0.875,0.608,0.0,1.0,0.0,1.0,0.0,4.0
0.2848,0.272,0.3384,0.0,0.789,0.15,Great Hunan Restaurant,0.0377,0.0332,0.752,0.7647,62,0.2089,0.1998,0.9432,-0.8138,0.825,0.0,1.0,0.0,1.0,0.0,3.5
0.2956,0.2699,0.2732,0.0,0.803,0.144,Minami Restaurant,0.0322,0.0328,0.761,0.7773,316,0.2032,0.1856,0.9875,-0.8334,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2157,0.229,0.2263,0.0,0.8095000000000001,0.123,Java Restaurant,0.0508,0.045,0.7741,0.7872,112,0.1678,0.1653,0.9316,-0.9106,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2059,0.2058,0.0516,0.0,0.825,0.094,Ti Couz,0.0545,0.0483,0.7802,0.7996,1110,0.1607,0.1501,0.9838,-0.8484,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.0864,0.0474,0.0,0.0,0.8485,0.0,Cafe Dante,0.0714,0.0707,0.8295,0.8463,5,0.0991,0.083,0.8807,-0.8208,0.565,0.0,1.0,0.423,0.366,0.0,1.5
0.0,0.0,0.0,0.0,1.0,0.0,Burger Island,0.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
0.2983,0.2764,0.3506,0.0,0.798,0.156,Bangkok Bistro,0.0277,0.0335,0.7664,0.7734,118,0.2034,0.1904,0.9468,-0.8466,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,Scenic India Restaurant,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3254,0.1118,0.0,0.0,0.8195,0.0,New Lotus Garden,0.0857,0.1087,0.6703,0.7167,3,0.2183,0.1245,0.836,-0.5256,1.0,0.0,1.0,0.0,0.629,0.0,4.5
0.3107,0.2845,0.3182,0.0,0.8035000000000001,0.142,Canteen,0.035,0.0331,0.7663,0.7762,719,0.1973,0.1884,0.9661,-0.7839,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2353,0.2302,0.2263,0.0,0.7795000000000001,0.141,Fattoush,0.0605,0.0559,0.7426,0.7612,598,0.1951,0.1814,0.9588,-0.9051,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.3224,0.2637,0.27265,0.0,0.829,0.126,Kappa Japanese Restaurant,0.0231,0.0261,0.7827,0.8056,199,0.1941,0.1683,0.9712,-0.802,1.0,0.0,1.0,0.0,1.0,0.0,4.5
0.2695,0.2431,0.2263,0.0,0.805,0.133,Maverick,0.0397,0.0412,0.7664,0.7804,1111,0.1939,0.1784,0.9843,-0.7856,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.3049,0.2791,0.3182,0.0,0.791,0.146,Maya,0.0476,0.0461,0.7649,0.7652,712,0.1853,0.1829,0.9894,-0.8988,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2833,0.2684,0.2732,0.0,0.7975000000000001,0.149,Globe,0.0442,0.0423,0.7593,0.774,627,0.1965,0.1837,0.9628,-0.9403,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2434,0.1917,0.0,0.0,0.824,0.087,Mecca,0.0482,0.0548,0.7711,0.7857,194,0.179,0.1567,0.9638,-0.8934,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2934,0.276,0.3291,0.0,0.7825,0.155,Frisee Restaurant,0.04,0.0424,0.7624,0.7652,159,0.1936,0.1888,0.9652,-0.939,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,Jianna,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2819,0.2617,0.25,0.0,0.808,0.14,Baraka,0.0405,0.0381,0.77,0.7824,237,0.1866,0.1773,0.9423,-0.8491,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.2303,0.1896,0.4215,0.0,0.797,0.1,Moxie Bar and Restaurant,0.0788,0.0907,0.7659,0.7687,2,0.1554,0.1405,0.7184,-0.5983,0.444,0.0,1.0,0.471,0.373,0.0,5.0
0.2475,0.2274,0.1779,0.0,0.81,0.123,Trader Vic’s,0.0503,0.0455,0.7727,0.7898,77,0.1758,0.1634,0.9786,-0.8478,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2174,0.2701,0.34,0.0,0.823,0.145,Technique Restaurant,0.0378,0.0319,0.8012,0.7943,7,0.161,0.1738,0.9423,-0.7641,0.524,0.0,1.0,0.236,0.764,0.0,3.0
0.3006,0.2543,0.2732,0.0,0.78,0.149,Rex Cafe,0.0506,0.0517,0.7495,0.7643,375,0.1966,0.1799,0.9588,-0.802,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.3053,0.2318,0.2023,0.0,0.8194999999999999,0.1145,Moose’s,0.0359,0.0403,0.7647,0.7964,80,0.1976,0.1619,0.9716,-0.8126,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.1716,0.1409,0.0,0.0,0.8425,0.0,Schnitzelhaus,0.0564,0.0594,0.8009,0.8089,275,0.1385,0.1281,0.9682,-0.8969,1.0,0.0,1.0,0.0,1.0,0.0,3.5
-0.0122,-0.02,0.0,0.0,1.0,0.0,Chabela Restaurant,0.0594,0.0621,0.8446,0.8443,4,0.0961,0.0937,0.5859,-0.6956,0.552,0.0,1.0,0.256,0.744,0.0,2.5
0.2955,0.2618,0.25815,0.0,0.815,0.1325,XYZ,0.0308,0.0383,0.7863,0.7897,648,0.1822,0.1711,0.9895,-0.8074,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2486,0.2307,0.2013,0.0,0.812,0.12,Triptych,0.047,0.0466,0.7725,0.779,937,0.1792,0.1733,0.9589,-0.9239,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.2234,0.2185,0.1027,0.0,0.8225,0.099,Medjool,0.052,0.0488,0.7971,0.7995,1460,0.1489,0.1498,0.9618,-0.926,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2955,0.2755,0.3182,0.0,0.783,0.169,Nob Hill Grille,0.0309,0.0291,0.7423,0.763,938,0.2203,0.204,0.9231,-0.8225,0.569,0.0,1.0,0.0,1.0,0.0,4.0
0.2112,0.1935,0.2023,0.0,0.777,0.1185,Atrium Restaurant,0.062,0.0577,0.7513,0.7625,26,0.1867,0.1799,0.9501,-0.9538,1.0,0.0,1.0,0.0,1.0,0.0,3.0
0.2127,0.1807,0.0698,0.0,0.7725,0.108,Amira,0.0804,0.0671,0.7314,0.7713,19,0.175,0.1513,0.9082,-0.7506,0.762,0.0,1.0,0.0,0.704,0.0,3.0
0.2431,0.235,0.1531,0.0,0.8185,0.107,Home,0.044,0.0379,0.7732,0.776,1017,0.1756,0.1779,0.9536,-0.8779,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,Carl’s Jr Restaurants,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2847,0.2596,0.2975,0.0,0.786,0.148,Nirvana Restaurant & Bar,0.0518,0.0504,0.7333,0.7468,449,0.2029,0.1927,0.9619,-0.8777,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.0,0.0,0.0,0.0,0.0,0.0,Desiree Cafe,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3233,0.3328,0.4404,0.0,0.765,0.225,Ayutla Restaurant,0.0352,0.0234,0.7582,0.7444,12,0.2067,0.2322,0.9531,-0.7314,0.339,0.0,1.0,0.204,0.796,0.0,4.5
0.1162,0.0758,0.0,0.0,0.839,0.0,Teo,0.0684,0.0784,0.8006,0.8031,70,0.1296,0.1151,0.9357,-0.9414,1.0,0.0,1.0,0.0,1.0,0.0,2.5
0.2149,0.1737,0.0,0.0,0.839,0.036,Ducroix,0.0449,0.0467,0.7936,0.8114,420,0.1606,0.1411,0.9768,-0.8558,1.0,0.0,1.0,0.0,1.0,0.0,4.0
0.1764,0.1842,0.0,0.0,0.811,0.09,Ristorante Umbria,0.0685,0.0572,0.7562,0.7742,627,0.1729,0.1658,0.9642,-0.9081,1.0,0.0,1.0,0.0,1.0,0.0,3.5
0.1067,0.124,0.0,0.0,0.8374999999999999,0.0,Ken’s Kitchen,0.0726,0.0649,0.7891,0.7964,262,0.1255,0.1306,0.961,-0.8402,1.0,0.0,1.0,0.0,0.815,0.0,3.0
